Movie ID,Genre IDs,Popularity
197,"[28, 18, 36, 10752]",62.13
77338,"[18, 35]",62.101
93456,"[16, 35, 10751]",62.036
17899,"[35, 18]",61.988
578,"[27, 53, 12]",61.978
1029955,"[18, 35]",61.925
9425,"[878, 28, 18, 14]",16.074
324560,"[53, 37]",16.073
995012,"[9648, 53, 28]",16.071
937013,"[28, 9648, 12]",16.07
586347,[28],16.07
10733,"[36, 10752, 18]",16.069
936559,[10749],16.068
32528,"[28, 18]",16.065
10534,"[18, 12]",16.065
464293,"[18, 14, 28]",16.064
576,[37],16.064
158,"[35, 80]",16.064
82505,"[27, 53]",16.062
152760,"[10752, 18, 36, 28]",16.061
1064517,[28],16.059
465086,"[27, 9648]",16.059
3082,"[35, 18, 10749]",16.059
10619,[28],16.058
4203,"[35, 18]",16.058
1142366,"[10770, 35, 10749, 10751]",16.056
838209,"[9648, 27, 53]",76.457
181808,"[12, 28, 878]",76.421
550988,"[35, 12, 878]",76.359
527774,"[16, 10751, 14, 28, 12]",76.259
181812,"[12, 28, 878]",76.234
131631,"[878, 12, 53]",76.07
1174618,"[27, 53]",76.061
177677,"[28, 12]",76.059
85,"[12, 28]",75.951
38365,[35],75.95
1317218,[27],75.946
934433,"[27, 80, 53]",75.898
10138,"[12, 28, 878]",75.843
335797,"[16, 35, 10751, 10402]",75.776
105,"[12, 35, 878]",75.749
614933,"[878, 28]",75.686
423108,"[27, 9648, 53]",75.452
1284004,"[16, 35]",75.339
247136,"[18, 10749]",75.095
624091,"[28, 12, 878, 14, 18]",75.065
532444,"[10749, 18]",16.097
1977,"[9648, 27, 53]",22.533
9494,"[35, 10749]",16.094
548537,"[18, 10749, 10770]",16.092
11705,"[18, 53]",16.092
831405,"[16, 878, 14, 28]",16.091
26845,"[28, 12]",16.091
18500,"[10751, 35]",16.091
11364,"[10749, 18]",16.09
181656,"[16, 18, 36, 27]",16.089
79113,"[35, 10751, 10770, 10749, 18]",16.085
583268,"[18, 10749, 35]",16.083
9208,"[28, 12, 53]",16.083
39148,"[16, 12, 14]",16.082
12110,"[35, 27]",16.082
8054,"[12, 14, 9648]",16.081
1941,"[18, 10752]",22.513
1010730,"[10770, 10749, 35]",16.076
338768,"[35, 18]",16.075
626393,"[10751, 28]",16.074
38157,"[27, 14]",24.626
13680,"[35, 10751]",24.623
13285,"[16, 10751, 12, 14]",24.62
205,"[18, 36, 10752]",24.611
286532,[35],24.608
17474,"[18, 10751, 10749]",24.603
9600,"[80, 35]",24.603
180564,[12],24.602
8848,"[53, 80, 18]",24.597
548473,"[27, 878, 9648]",24.588
814,"[35, 27]",24.588
77174,"[10751, 16, 12, 35]",24.585
64686,"[18, 28, 14]",24.581
11878,"[18, 53]",24.58
817758,"[18, 10402]",24.574
9593,"[12, 14, 28, 35, 10751]",24.571
363992,"[80, 18, 36, 53, 10770]",24.566
9665,"[18, 36, 10752]",24.565
3525,"[35, 10749, 18]",24.557
391,[37],24.553
664236,"[16, 35, 10751, 12]",19.181
335778,"[28, 12, 18, 14]",19.181
439,"[35, 18]",19.179
629015,"[53, 27, 18]",19.176
361745,"[10770, 10749]",19.176
33613,"[28, 53, 80, 9648]",19.171
11825,"[35, 80]",19.169
333667,"[16, 12, 35, 10751, 10402]",19.165
348537,"[35, 10749, 10751]",19.163
429300,"[53, 10749, 12]",19.161
1035369,"[10749, 18, 10402]",19.16
394723,"[18, 10749]",19.158
38410,"[27, 9648, 80, 53]",19.15
18990,[27],19.15
188982,"[28, 35]",19.146
277355,"[53, 28]",19.143
978,"[12, 18, 36]",19.143
458131,"[18, 36]",19.142
1232177,[10749],19.141
18282,"[35, 10749, 10751]",19.141
18501,"[28, 53, 878]",25.04
698948,"[18, 53]",25.039
81481,[18],25.036
300681,"[878, 53, 18]",25.035
704440,[10749],25.034
15566,"[35, 10749]",25.031
167,"[878, 18, 9648]",25.022
38142,"[16, 10749, 18]",25.02
10303,"[12, 28, 35, 10749]",25.011
552095,"[12, 16, 10751, 28]",25.009
346709,"[53, 80, 28]",25.005
3131,"[18, 36, 80]",24.984
1306434,"[35, 18, 9648]",24.964
10603,"[12, 35, 10751, 10749]",24.953
504,"[80, 18]",24.951
4929,[37],24.95
42246,"[16, 35, 10751]",24.946
10314,"[35, 10749]",24.945
1577,"[27, 28, 878]",24.944
700199,[10749],24.941
452773,"[16, 12, 35, 10751]",34.291
1656,"[28, 12, 37]",34.283
17581,"[14, 16, 28]",34.274
9982,"[16, 10751, 35]",34.273
1022685,"[10770, 35, 10749, 18]",34.258
11774,"[12, 35, 10751]",34.247
10515,"[12, 14, 16, 28, 10751]",34.241
798021,"[35, 14, 10751]",34.227
654739,"[28, 80, 18, 53]",34.197
454615,"[28, 53]",34.177
452832,"[53, 9648, 18]",34.177
12405,"[18, 10749]",34.166
8009,"[12, 28, 14]",34.158
12437,"[14, 28, 53]",34.153
569820,[],34.15
1076487,"[10752, 28, 18]",34.145
215,[27],34.126
718789,"[16, 878, 10751, 12]",34.122
296099,[35],34.081
984105,[27],34.077
809787,"[35, 80, 28]",16.055
342521,"[28, 35, 80]",16.055
529983,"[53, 80]",16.054
285135,"[878, 10770]",16.051
348950,"[18, 10749]",16.05
10367,"[80, 18, 9648]",16.05
1240773,[10749],16.049
36683,"[878, 12, 9648]",16.048
156708,"[35, 18]",16.046
34723,"[12, 18, 10751]",16.044
487437,"[35, 18]",16.043
838,"[35, 18]",16.043
46122,[99],16.042
11558,"[35, 80, 10749, 53]",16.037
68,"[35, 878]",16.036
364220,"[18, 14, 27]",16.034
523781,"[18, 10749]",16.033
14362,"[28, 80]",16.032
12700,"[27, 53, 18]",16.031
1647,"[28, 53]",16.031
134,"[12, 35, 80]",15.23
18975,"[10751, 14, 12, 18]",15.229
361746,"[18, 10749, 10770]",15.228
355020,[99],15.228
37645,"[18, 80, 53]",15.226
1242196,[],15.225
500919,"[80, 28, 53]",15.225
15766,"[878, 28, 14, 53]",15.225
18683,"[10749, 35]",15.223
